username,score,percentile
TLginseng,0.57,0.8964459488047386
Yukko,0.57,0.8964459488047386
du67ty,0.57,0.8964459488047386
CrystalZ,0.58,0.9096678654537761
Remkun,0.59,0.9149566321133911
CozyNosy,0.6,0.9228897821028136
Reploid,0.6,0.9228897821028136
halloptik,0.61,0.9308229320922361
Gordochi,0.62,0.9466892320710809
Grilleks,0.62,0.9466892320710809
HalfLeif,0.62,0.9466892320710809
Hexafone,0.62,0.9466892320710809
Kaoshii,0.62,0.9466892320710809
AmnesiaSilence,0.63,0.9651999153797334
CrownCloneXVI,0.63,0.9651999153797334
jiny09,0.64,0.9731330653691559
AAAAAA,0.66,0.9863549820181934
Leban,0.66,0.9863549820181934
Plose,0.66,0.9863549820181934
Taengz,0.66,0.9863549820181934
Myronzor,0.67,1.0022212819970382
pankubix,0.67,1.0022212819970382
DrBowessarth,0.68,1.0101544319864608
Gamer3347,0.69,1.0233763486354983
MarianCap,0.69,1.0233763486354983
Nandochi,0.69,1.0233763486354983
We1fare,0.69,1.0233763486354983
GoGoSunshine,0.7,1.0418870319441507
mochiricecake,0.7,1.0418870319441507
quans,0.7,1.0418870319441507
OSU1,0.72,1.0551089485931882
iinik,0.72,1.0551089485931882
281v0,0.73,1.065686481912418
Hanako819,0.73,1.065686481912418
Melvr,0.74,1.081552781891263
Phitokinesis,0.74,1.081552781891263
drk,0.74,1.081552781891263
ratprincess,0.74,1.081552781891263
MeleeBomb904,0.75,1.1000634651999153
Smeric,0.75,1.1000634651999153
lasteen,0.75,1.1000634651999153
Cheeto,0.76,1.1132853818489528
Sythcide,0.76,1.1132853818489528
suame,0.77,1.1212185318383754
shadowbreakqr,0.78,1.1265072984979903
LilGnome,0.79,1.1370848318172202
hata,0.79,1.1370848318172202
oagNwoeMnoC625,0.79,1.1370848318172202
cloudfield,0.8,1.1476623651364501
Flier,0.81,1.1608842817854876
LucLag,0.81,1.1608842817854876
MeltedButter,0.81,1.1608842817854876
Sash,0.81,1.1608842817854876
P3tike,0.82,1.174106198434525
Gonny,0.83,1.1793949650941402
ThighOverlord,0.84,1.1873281150835624
cooladam26,0.84,1.1873281150835624
Devohx,0.86,1.1979056484027926
Nihoyo,0.86,1.1979056484027926
grimdeed,0.87,1.205838798392215
BluZenif,0.88,1.2243494817008673
Doctown,0.88,1.2243494817008673
Dolphicus614,0.88,1.2243494817008673
MrWoofels44,0.88,1.2243494817008673
NoTablet,0.88,1.2243494817008673
Sondykins,0.88,1.2243494817008673
Ju88,0.89,1.2507933149989423
Roti,0.89,1.2507933149989423
chiquipom,0.89,1.2507933149989423
oANTWONo,0.89,1.2507933149989423
AxConnorGames,0.9,1.2745927649672095
Gjwr,0.9,1.2745927649672095
Luke,0.9,1.2745927649672095
krapie,0.9,1.2745927649672095
sparta213,0.9,1.2745927649672095
MtrJulio,0.91,1.2957478316056696
Ohreis,0.91,1.2957478316056696
TheRealBread,0.91,1.2957478316056696
Alpaca,0.92,1.3089697482547071
xDjgIL,0.92,1.3089697482547071
BroccoliChan,0.93,1.324836048233552
Fundiments,0.93,1.324836048233552
PL4Y3R,0.93,1.324836048233552
furikake,0.93,1.324836048233552
JYE,0.95,1.3433467315422043
QUADTRILLS,0.95,1.3433467315422043
RyuuAkito,0.95,1.3433467315422043
Chrono,0.96,1.3539242648614342
lolced,0.97,1.3618574148508569
ten,0.97,1.3618574148508569
KokouNut,0.98,1.3724349481700866
PixieDix,0.98,1.3724349481700866
Terraquatic,0.99,1.3830124814893168
YohaneFGC,0.99,1.3830124814893168
