username,score,percentile
SawbladeDoom,0.59,0.8982352319560393
qera,0.59,0.8982352319560393
AsuKo,0.6,0.9140864419317342
herestotheroc,0.6,0.9140864419317342
virtuality,0.6,0.9140864419317342
Dolsu,0.61,0.9272957835781465
RyuuAkito,0.61,0.9272957835781465
281v0,0.62,0.9405051252245589
Mqrcury,0.62,0.9405051252245589
c4tjuice,0.62,0.9405051252245589
miguel,0.63,0.9510725985416887
Risaishi,0.64,0.9563563352002535
Qbert,0.65,0.9695656768466658
cjh64,0.65,0.9695656768466658
gami0512,0.65,0.9695656768466658
saidaro,0.65,0.9695656768466658
PixieDix,0.66,0.9827750184930784
AunKungTH,0.67,0.9959843601394908
QuitsCannon3639,0.67,0.9959843601394908
Wyind,0.67,0.9959843601394908
chiquipom,0.67,0.9959843601394908
Conraz,0.68,1.0118355701151853
foros06,0.68,1.0118355701151853
QEVO,0.69,1.0303286484201626
RikeSnipe,0.69,1.0303286484201626
asangoyo3964,0.69,1.0303286484201626
cloudfield,0.69,1.0303286484201626
oANTWONo,0.69,1.0303286484201626
CrownCloneXVI,0.7,1.04882172672514
NiadHGR,0.7,1.04882172672514
Andy24Evans,0.71,1.0620310683715524
Ohreis,0.71,1.0620310683715524
happywheels2929,0.71,1.0620310683715524
Alcyon,0.72,1.077882278347247
J3D1,0.72,1.077882278347247
Jaxzog,0.72,1.077882278347247
Devohx,0.73,1.0910916199936596
notredwan,0.73,1.0910916199936596
FreddyDePro,0.74,1.1016590933107895
Lune,0.74,1.1016590933107895
makyoku,0.75,1.1122265666279192
nove,0.75,1.1122265666279192
Grilleks,0.76,1.1227940399450491
m3lo,0.76,1.1227940399450491
SpicyGinJoon,0.77,1.138645249920744
Wowowee0069,0.77,1.138645249920744
f4zz,0.77,1.138645249920744
sopharia,0.77,1.138645249920744
Hotman0,0.79,1.1571383282257213
Nihoyo,0.79,1.1571383282257213
nae,0.79,1.1571383282257213
IndianMicrowave,0.8,1.1756314065306985
MrWoofels44,0.8,1.1756314065306985
alessjoase9,0.8,1.1756314065306985
remagypred,0.8,1.1756314065306985
Coward,0.81,1.1941244848356758
Lux,0.81,1.1941244848356758
Personis,0.81,1.1941244848356758
Sklushi,0.82,1.2046919581528057
Doctown,0.83,1.212617563140653
Sash,0.83,1.212617563140653
Fundiments,0.84,1.2311106414456303
OwlCore,0.84,1.2311106414456303
Remkun,0.84,1.2311106414456303
UsBold1s,0.84,1.2311106414456303
quans,0.84,1.2311106414456303
Brad,0.85,1.2522455880798902
Grace,0.85,1.2522455880798902
NotAceatUpscroll,0.85,1.2522455880798902
Asu,0.86,1.268096798055585
Mulequik,0.86,1.268096798055585
SunSunThekitten,0.86,1.268096798055585
betterhiroto,0.87,1.2839480080312797
hasty,0.87,1.2839480080312797
relpis,0.87,1.2839480080312797
jepsi,0.88,1.2945154813484097
Dolphicus614,0.89,1.3156504279826695
Drakers,0.89,1.3156504279826695
Kenway3211,0.89,1.3156504279826695
Shameful,0.89,1.3156504279826695
ashylab,0.89,1.3156504279826695
evahsince,0.89,1.3156504279826695
syk,0.89,1.3156504279826695
Rainbowzz,0.9,1.336785374616929
CorruptYouthh,0.91,1.3552784529219064
NobleEzuno,0.91,1.3552784529219064
Paradoxenon,0.91,1.3552784529219064
bballdude123,0.91,1.3552784529219064
crysty99,0.91,1.3552784529219064
lala6,0.91,1.3552784529219064
JoseiFeliz,0.92,1.3843390045440134
MikeDeBike,0.92,1.3843390045440134
ThyPolloLoco,0.92,1.3843390045440134
TonyMontania,0.92,1.3843390045440134
koalqh,0.92,1.3843390045440134
RaginAus,0.93,1.4028320828489906
pebbleb,0.93,1.4028320828489906
Corez,0.94,1.4160414244954032
TonyNougat,0.94,1.4160414244954032
silversilent,0.94,1.4160414244954032
BroccoliChan,0.95,1.4371763711296628
NinjaWeeGee,0.95,1.4371763711296628
SisterA,0.95,1.4371763711296628
nuggetcrab,0.95,1.4371763711296628
stanley9990,0.95,1.4371763711296628
L04F,0.98,1.4609531860932052
Moleey,0.98,1.4609531860932052
Struck,0.98,1.4609531860932052
Vally,0.98,1.4609531860932052
Ayaero,0.99,1.4820881327274649
Ju88,0.99,1.4820881327274649
dmn,0.99,1.4820881327274649
zPixel,0.99,1.4820881327274649
ANIBsky,1.0,1.511148684349572
OSU1,1.0,1.511148684349572
Roti,1.0,1.511148684349572
TheGreatHoldenD,1.0,1.511148684349572
Vonz,1.0,1.511148684349572
YohaneFGC,1.0,1.511148684349572
du67ty,1.0,1.511148684349572
mochiricecake,1.01,1.5322836309838317
Nachojojo,1.02,1.5428511043009616
T3RraCrew,1.02,1.5428511043009616
Yayamusprime,1.02,1.5428511043009616
Flewrider,1.03,1.5639860509352215
Frodo,1.03,1.5639860509352215
Hamzi27,1.03,1.5639860509352215
Madozito,1.03,1.5639860509352215
l9m,1.03,1.5639860509352215
Doxxa,1.04,1.5824791292401985
lastcherry,1.04,1.5824791292401985
4203lemeht,1.05,1.5983303392158934
GundhamTanaka,1.05,1.5983303392158934
LuminousMind,1.05,1.5983303392158934
alex101,1.05,1.5983303392158934
Gordochi,1.06,1.619465285850153
Nemixx,1.06,1.619465285850153
ThePhoenix,1.06,1.619465285850153
sno0op,1.06,1.619465285850153
Iamdumberdore,1.07,1.635316495825848
StevenR100,1.07,1.635316495825848
GelloMello,1.08,1.6458839691429779
Pocin,1.08,1.6458839691429779
KadeDev,1.09,1.6564514424601078
ScornedShadow,1.09,1.6564514424601078
Vassion,1.1,1.6696607841065203
lolced,1.1,1.6696607841065203
uwuchann,1.1,1.6696607841065203
Rudyon,1.11,1.6855119940822152
XDcalypse,1.11,1.6855119940822152
juni,1.11,1.6855119940822152
1hrphoto,1.12,1.7066469407164746
DROID,1.12,1.7066469407164746
jappoman,1.12,1.7066469407164746
witchcult,1.12,1.7066469407164746
xRiacchix,1.12,1.7066469407164746
MeeeDBeD,1.13,1.725140019021452
Zanarc,1.13,1.725140019021452
Dookie,1.14,1.735707492338582
TheWishin,1.14,1.735707492338582
DrBowessarth,1.15,1.754200570643559
Poo,1.15,1.754200570643559
Snakebab,1.15,1.754200570643559
ThighOverlord,1.15,1.754200570643559
Wackayy,1.15,1.754200570643559
Cazialer,1.17,1.7806192539363837
MasksHideAll,1.17,1.7806192539363837
THEMG3,1.17,1.7806192539363837
awexwolfo,1.17,1.7806192539363837
rednoobguy26,1.17,1.7806192539363837
Aiden,1.18,1.8070379372292082
YoannDu673,1.18,1.8070379372292082
koop439,1.18,1.8070379372292082
otterup,1.18,1.8070379372292082
seeder,1.18,1.8070379372292082
CottageFairy,1.19,1.8360984888513157
EvReset,1.19,1.8360984888513157
Hanako819,1.19,1.8360984888513157
HelloFreiends,1.19,1.8360984888513157
Liz93,1.19,1.8360984888513157
Luke,1.19,1.8360984888513157
Daemon,1.2,1.8572334354855755
Isac,1.2,1.8572334354855755
GinIsSilver,1.21,1.8704427771319878
chaosqueen3011,1.21,1.8704427771319878
rickzriki,1.21,1.8704427771319878
Moony69,1.22,1.8862939871076825
jiny09,1.22,1.8862939871076825
mlgcarlos,1.22,1.8862939871076825
Croonk,1.23,1.910070802071225
Gentoxic,1.23,1.910070802071225
IConstableI,1.23,1.910070802071225
Zodro,1.23,1.910070802071225
codeine,1.23,1.910070802071225
crimson,1.23,1.910070802071225
KuzaTei,1.24,1.9312057487054846
Nekocandy,1.24,1.9312057487054846
Poke,1.25,1.9417732220226143
oagNwoeMnoC625,1.25,1.9417732220226143
Theal,1.26,1.9549825636690266
ZylPad,1.26,1.9549825636690266
guizog,1.26,1.9549825636690266
JYE,1.27,1.973475641974004
PanjengG,1.27,1.973475641974004
Skunky,1.27,1.973475641974004
mentalistfp,1.27,1.973475641974004
Dolt,1.28,1.9866849836204163
Marktwank,1.29,1.9919687202789815
Flier,1.3,2.0051780619253936
GoGoSunshine,1.3,2.0051780619253936
Snow38,1.3,2.0051780619253936
sevarti,1.3,2.0051780619253936
nepdude,1.32,2.0210292719010883
ten,1.32,2.0210292719010883
CozyNosy,1.33,2.042164218535348
Flaust,1.33,2.042164218535348
Serlum,1.33,2.042164218535348
a6k,1.33,2.042164218535348
sgt1face,1.33,2.042164218535348
xehpnetta,1.33,2.042164218535348
AgentQPK,1.34,2.060657296840325
