username,score,percentile
281v0,0.0,0.6554604080769637
7u7,0.0,0.6554604080769637
AAAAAA,0.0,0.6554604080769637
ALTVOIDZY,0.0,0.6554604080769637
Alcyon,0.0,0.6554604080769637
AlexFag,0.0,0.6554604080769637
AlexisUWU,0.0,0.6554604080769637
AlexyonRay,0.0,0.6554604080769637
Alpaca,0.0,0.6554604080769637
AmnesiaSilence,0.0,0.6554604080769637
AndrewDong,0.0,0.6554604080769637
Andy24Evans,0.0,0.6554604080769637
Aphlysted,0.0,0.6554604080769637
Arcane,0.0,0.6554604080769637
Arcati,0.0,0.6554604080769637
Archai,0.0,0.6554604080769637
Asier2003,0.0,0.6554604080769637
AsuKo,0.0,0.6554604080769637
AunKungTH,0.0,0.6554604080769637
AxConnorGames,0.0,0.6554604080769637
Bobcat,0.0,0.6554604080769637
Brad,0.0,0.6554604080769637
BroccoliChan,0.0,0.6554604080769637
Cazialer,0.0,0.6554604080769637
Cheeto,0.0,0.6554604080769637
Chell0,0.0,0.6554604080769637
Chisato,0.0,0.6554604080769637
Conraz,0.0,0.6554604080769637
Corez,0.0,0.6554604080769637
CrystalZ,0.0,0.6554604080769637
D321,0.0,0.6554604080769637
Dawney,0.0,0.6554604080769637
Dedlaft,0.0,0.6554604080769637
DevLovChez,0.0,0.6554604080769637
Devohx,0.0,0.6554604080769637
Diddy,0.0,0.6554604080769637
Doctown,0.0,0.6554604080769637
Dolphicus614,0.0,0.6554604080769637
DrBowessarth,0.0,0.6554604080769637
Drakers,0.0,0.6554604080769637
Dreadmag,0.0,0.6554604080769637
DumbRat,0.0,0.6554604080769637
DustinKazi,0.0,0.6554604080769637
Dyron,0.0,0.6554604080769637
Eliott,0.0,0.6554604080769637
Fechote,0.0,0.6554604080769637
Form,0.0,0.6554604080769637
Free,0.0,0.6554604080769637
Froce,0.0,0.6554604080769637
Gjwr,0.0,0.6554604080769637
Gonny,0.0,0.6554604080769637
Gordochi,0.0,0.6554604080769637
Grilleks,0.0,0.6554604080769637
Gvesso,0.0,0.6554604080769637
HalfLeif,0.0,0.6554604080769637
HampterLord,0.0,0.6554604080769637
Hamzi27,0.0,0.6554604080769637
Hanako819,0.0,0.6554604080769637
HellLight23,0.0,0.6554604080769637
Hexikey,0.0,0.6554604080769637
Hibeki,0.0,0.6554604080769637
Hotman0,0.0,0.6554604080769637
Hydre,0.0,0.6554604080769637
I4MTRUE,0.0,0.6554604080769637
IndianMicrowave,0.0,0.6554604080769637
J3D1,0.0,0.6554604080769637
JYE,0.0,0.6554604080769637
JahMano,0.0,0.6554604080769637
Jobdozer,0.0,0.6554604080769637
JonahTheMans,0.0,0.6554604080769637
Jumko,0.0,0.6554604080769637
KadeDev,0.0,0.6554604080769637
Kaoshii,0.0,0.6554604080769637
Kingjames,0.0,0.6554604080769637
KokouNut,0.0,0.6554604080769637
Kubercik,0.0,0.6554604080769637
LeonsOnline,0.0,0.6554604080769637
LucLag,0.0,0.6554604080769637
Mahi,0.0,0.6554604080769637
MarianCap,0.0,0.6554604080769637
MeeeDBeD,0.0,0.6554604080769637
MeltedButter,0.0,0.6554604080769637
Melvr,0.0,0.6554604080769637
MikeDeBike,0.0,0.6554604080769637
Moleey,0.0,0.6554604080769637
Mongosute,0.0,0.6554604080769637
Mqrcury,0.0,0.6554604080769637
MtrJulio,0.0,0.6554604080769637
Mulequik,0.0,0.6554604080769637
Myronzor,0.0,0.6554604080769637
NVZ,0.0,0.6554604080769637
Nachojojo,0.0,0.6554604080769637
NadyshkaXuyshka,0.0,0.6554604080769637
NiadHGR,0.0,0.6554604080769637
Nihoyo,0.0,0.6554604080769637
NinjaWeeGee,0.0,0.6554604080769637
NoTablet,0.0,0.6554604080769637
NobleEzuno,0.0,0.6554604080769637
NotAceatUpscroll,0.0,0.6554604080769637
Noxyntious,0.0,0.6554604080769637
Nydia,0.0,0.6554604080769637
OSU1,0.0,0.6554604080769637
OSilver,0.0,0.6554604080769637
ObiMeow,0.0,0.6554604080769637
OceanMan1137,0.0,0.6554604080769637
OceansCurse,0.0,0.6554604080769637
Odoroki,0.0,0.6554604080769637
Ohreis,0.0,0.6554604080769637
OwlCore,0.0,0.6554604080769637
P3tike,0.0,0.6554604080769637
Phitokinesis,0.0,0.6554604080769637
PicoVIII,0.0,0.6554604080769637
Plose,0.0,0.6554604080769637
Powwu,0.0,0.6554604080769637
Pris90,0.0,0.6554604080769637
Qbert,0.0,0.6554604080769637
QuitsCannon3639,0.0,0.6554604080769637
Rainbowzz,0.0,0.6554604080769637
Remkun,0.0,0.6554604080769637
Reploid,0.0,0.6554604080769637
Ricz124,0.0,0.6554604080769637
RikeSnipe,0.0,0.6554604080769637
Rudyon,0.0,0.6554604080769637
Ryoken,0.0,0.6554604080769637
RyuuAkito,0.0,0.6554604080769637
S0URMAY0,0.0,0.6554604080769637
SaasAs,0.0,0.6554604080769637
SamuraiXVI,0.0,0.6554604080769637
Sash,0.0,0.6554604080769637
ScornedShadow,0.0,0.6554604080769637
SerafinDD,0.0,0.6554604080769637
Shameful,0.0,0.6554604080769637
Shirohi,0.0,0.6554604080769637
SillyBunny,0.0,0.6554604080769637
Skelebro,0.0,0.6554604080769637
Smeric,0.0,0.6554604080769637
Snow38,0.0,0.6554604080769637
SoToy,0.0,0.6554604080769637
T3RraCrew,0.0,0.6554604080769637
TLginseng,0.0,0.6554604080769637
Taengz,0.0,0.6554604080769637
TheJadesito,0.0,0.6554604080769637
TheRealBread,0.0,0.6554604080769637
Tiana,0.0,0.6554604080769637
TobyFangirl,0.0,0.6554604080769637
TomokoOkada,0.0,0.6554604080769637
TonyMontania,0.0,0.6554604080769637
Treee,0.0,0.6554604080769637
Tupper,0.0,0.6554604080769637
UncreativeName14,0.0,0.6554604080769637
UsBold1s,0.0,0.6554604080769637
Vassion,0.0,0.6554604080769637
Vonz,0.0,0.6554604080769637
Vopbe,0.0,0.6554604080769637
We1fare,0.0,0.6554604080769637
Wowowee0069,0.0,0.6554604080769637
Wyind,0.0,0.6554604080769637
Yayamusprime,0.0,0.6554604080769637
Yolk,0.0,0.6554604080769637
Yukko,0.0,0.6554604080769637
Zayanaut,0.0,0.6554604080769637
abadplayer800,0.0,0.6554604080769637
ajplaymoble,0.0,0.6554604080769637
akidwhosvibing,0.0,0.6554604080769637
alessjoase9,0.0,0.6554604080769637
alex101,0.0,0.6554604080769637
ally,0.0,0.6554604080769637
amogusmantime,0.0,0.6554604080769637
betterhiroto,0.0,0.6554604080769637
bleach,0.0,0.6554604080769637
c4tjuice,0.0,0.6554604080769637
cactusdoe,0.0,0.6554604080769637
cjh64,0.0,0.6554604080769637
craz,0.0,0.6554604080769637
crysty99,0.0,0.6554604080769637
dabyu,0.0,0.6554604080769637
dangonova,0.0,0.6554604080769637
doma,0.0,0.6554604080769637
dove,0.0,0.6554604080769637
drk,0.0,0.6554604080769637
du67ty,0.0,0.6554604080769637
elpapelotaku,0.0,0.6554604080769637
eriri,0.0,0.6554604080769637
f4zz,0.0,0.6554604080769637
furikake,0.0,0.6554604080769637
gamer13254,0.0,0.6554604080769637
gami0512,0.0,0.6554604080769637
girlaccou,0.0,0.6554604080769637
halloptik,0.0,0.6554604080769637
happywheels2929,0.0,0.6554604080769637
hasty,0.0,0.6554604080769637
hololivedaisuki,0.0,0.6554604080769637
idioticlemon,0.0,0.6554604080769637
iinik,0.0,0.6554604080769637
ivers0nplayz,0.0,0.6554604080769637
jagrrat,0.0,0.6554604080769637
jappoman,0.0,0.6554604080769637
jepsi,0.0,0.6554604080769637
juni,0.0,0.6554604080769637
jwbre,0.0,0.6554604080769637
kingkonk,0.0,0.6554604080769637
koop439,0.0,0.6554604080769637
krapie,0.0,0.6554604080769637
kurokotei,0.0,0.6554604080769637
l9m,0.0,0.6554604080769637
lasteen,0.0,0.6554604080769637
lavandulaloe,0.0,0.6554604080769637
longkiff,0.0,0.6554604080769637
m486,0.0,0.6554604080769637
makyoku,0.0,0.6554604080769637
marcostudios,0.0,0.6554604080769637
markelobitx,0.0,0.6554604080769637
momentai,0.0,0.6554604080769637
muda,0.0,0.6554604080769637
nae,0.0,0.6554604080769637
nathaniel1805,0.0,0.6554604080769637
nepternity,0.0,0.6554604080769637
nikandrose,0.0,0.6554604080769637
nove,0.0,0.6554604080769637
nuggetcrab,0.0,0.6554604080769637
oANTWONo,0.0,0.6554604080769637
pebbleb,0.0,0.6554604080769637
phantomyle,0.0,0.6554604080769637
poyukeke,0.0,0.6554604080769637
qaze,0.0,0.6554604080769637
qera,0.0,0.6554604080769637
ratprincess,0.0,0.6554604080769637
relpis,0.0,0.6554604080769637
rion,0.0,0.6554604080769637
s1idewhist1e,0.0,0.6554604080769637
scape,0.0,0.6554604080769637
seeder,0.0,0.6554604080769637
silversilent,0.0,0.6554604080769637
sleeplessninja,0.0,0.6554604080769637
slwed,0.0,0.6554604080769637
sno0op,0.0,0.6554604080769637
sparta213,0.0,0.6554604080769637
spectre12321,0.0,0.6554604080769637
surley,0.0,0.6554604080769637
tathmairk,0.0,0.6554604080769637
tje500,0.0,0.6554604080769637
veelow,0.0,0.6554604080769637
vid,0.0,0.6554604080769637
wgd20,0.0,0.6554604080769637
xShiraori,0.0,0.6554604080769637
yanq,0.0,0.6554604080769637
yuupsyche,0.0,0.6554604080769637
ANIBsky,0.01,1.3320647002854424
Flier,0.01,1.3320647002854424
GelloMello,0.01,1.3320647002854424
HanimeGhoul,0.01,1.3320647002854424
Quintec,0.01,1.3320647002854424
SunSunThekitten,0.01,1.3320647002854424
ea2415,0.01,1.3320647002854424
marty56,0.01,1.3320647002854424
rednoobguy26,0.01,1.3320647002854424
SkyCurse,0.02,1.3584945554498362
Default,0.03,1.3690664975155937
Kazzy,0.03,1.3690664975155937
herestotheroc,0.03,1.3690664975155937
Datonix,0.04,1.392853367163548
Struck,0.04,1.392853367163548
cloudfield,0.04,1.392853367163548
paintyum,0.04,1.392853367163548
sgt1face,0.04,1.392853367163548
zPixel,0.04,1.392853367163548
Deltara,0.06,1.4166402368115023
SioN,0.06,1.4166402368115023
a6k,0.06,1.4166402368115023
Nightpanda,0.08,1.4298551643936992
XiuMai,0.08,1.4298551643936992
LilGnome,0.1,1.4457130774923352
abrown03x,0.1,1.4457130774923352
cooladam26,0.1,1.4457130774923352
stillramu,0.1,1.4457130774923352
Sklushi,0.11,1.4589280050745324
SatNizen,0.12,1.464213976107411
Mirk,0.13,1.4774289036896078
StevenR100,0.13,1.4774289036896078
codist,0.13,1.4774289036896078
xDjgIL,0.13,1.4774289036896078
RedMissile,0.14,1.4906438312718047
Jarasike,0.15,1.5223596574690772
Nooella,0.15,1.5223596574690772
PL4Y3R,0.15,1.5223596574690772
RavensLies,0.15,1.5223596574690772
ViciousTracker,0.15,1.5223596574690772
Wackayy,0.15,1.5223596574690772
awexwolfo,0.15,1.5223596574690772
nuvanut,0.15,1.5223596574690772
remagypred,0.15,1.5223596574690772
solestix,0.15,1.5223596574690772
xXGamerEloXx,0.15,1.5223596574690772
Risaishi,0.16,1.5540754836663495
Moony69,0.17,1.5593614546992283
SantiagoOld2001,0.18,1.5672904112485464
SpicyGinJoon,0.18,1.5672904112485464
Danker282,0.19,1.577862353314304
miguel,0.19,1.577862353314304
Nosi,0.2,1.5857913098636218
CorruptYouthh,0.21,1.5963632519293793
Lune,0.21,1.5963632519293793
chiquipom,0.21,1.5963632519293793
Lexan,0.22,1.6175071360608944
Madozito,0.22,1.6175071360608944
PixieDix,0.22,1.6175071360608944
Sondykins,0.22,1.6175071360608944
